customer_id,signup_day,population_type,hard_negative_subtype,ring_id,device_id,address_id,payment_fp_id
C0000000,53,normal,,,D000001,A000001,PF000001
C0000001,10,normal,,,D000002,A000002,PF000002
C0000002,60,normal,,,D000003,A000003,PF000003
C0000003,14,naive_abuse,,NA_RING0039,D006039,A000004,PF006039
C0000004,53,normal,,,D000005,A000005,PF000005
C0000005,63,normal,,,D000006,A000006,PF000006
C0000006,7,normal,,,D000007,A000007,PF000007
C0000007,21,normal,,,D000008,A000008,PF000008
C0000008,29,normal,,,D000009,A000009,PF000009
C0000009,92,normal,,,D000010,A000010,PF000010
C0000010,22,normal,,,D000011,A000011,PF000011
C0000011,92,naive_abuse,,NA_RING0055,D006055,A000012,PF000012
C0000012,53,adaptive_abuse,,AA_RING0081,D006187,A006187,PF006187
C0000013,94,normal,,,D000014,A000014,PF000014
C0000014,83,normal,,,D000015,A000015,PF000015
C0000015,29,normal,,,D000016,A000016,PF000016
C0000016,55,normal,,,D000017,A000017,PF000017
C0000017,71,normal,,,D000018,A000018,PF000018
C0000018,7,naive_abuse,,NA_RING0045,D000019,A000019,PF006045
C0000019,66,hard_negative,promo_spike,,D000020,A000020,PF000020
C0000020,45,naive_abuse,,NA_RING0039,D006039,A006039,PF000021
C0000021,3,normal,,,D000022,A000022,PF000022
C0000022,86,adaptive_abuse,,AA_RING0098,D000023,A006204,PF006204
C0000023,26,normal,,,D000024,A000024,PF000024
C0000024,87,normal,,,D000025,A000025,PF000025
C0000025,20,normal,,,D000026,A000026,PF000026
C0000026,54,adaptive_abuse,,AA_RING0072,D006178,A006178,PF006178
C0000027,37,normal,,,D000028,A000028,PF000028
C0000028,89,naive_abuse,,NA_RING0096,D006096,A006096,PF006096
C0000029,95,normal,,,D000030,A000030,PF000030
C0000030,77,adaptive_abuse,,AA_RING0013,D006119,A000031,PF000031
C0000031,84,normal,,,D000032,A000032,PF000032
C0000032,76,normal,,,D000033,A000033,PF000033
C0000033,29,adaptive_abuse,,AA_RING0067,D006173,A000034,PF000034
C0000034,92,normal,,,D000035,A000035,PF000035
C0000035,53,normal,,,D000036,A000036,PF000036
C0000036,34,normal,,,D000037,A000037,PF000037
C0000037,19,normal,,,D000038,A000038,PF000038
C0000038,70,normal,,,D000039,A000039,PF000039
C0000039,27,normal,,,D000040,A000040,PF000040
C0000040,65,normal,,,D000041,A000041,PF000041
C0000041,6,naive_abuse,,NA_RING0030,D006030,A000042,PF000042
C0000042,63,normal,,,D000043,A000043,PF000043
C0000043,64,normal,,,D000044,A000044,PF000044
C0000044,52,normal,,,D000045,A000045,PF000045
C0000045,65,normal,,,D000046,A000046,PF000046
C0000046,99,normal,,,D000047,A000047,PF000047
C0000047,83,adaptive_abuse,,AA_RING0095,D006201,A000048,PF000048
C0000048,43,adaptive_abuse,,AA_RING0024,D006130,A006130,PF006130
C0000049,87,normal,,,D000050,A000050,PF000050
C0000050,95,normal,,,D000051,A000051,PF000051
C0000051,16,normal,,,D000052,A000052,PF000052
C0000052,35,normal,,,D000053,A000053,PF000053
C0000053,74,normal,,,D000054,A000054,PF000054
C0000054,51,normal,,,D000055,A000055,PF000055
C0000055,13,normal,,,D000056,A000056,PF000056
C0000056,47,normal,,,D000057,A000057,PF000057
C0000057,37,normal,,,D000058,A000058,PF000058
C0000058,73,normal,,,D000059,A000059,PF000059
C0000059,51,normal,,,D000060,A000060,PF000060
C0000060,13,normal,,,D000061,A000061,PF000061
C0000061,4,hard_negative,promo_spike,,D000062,A000062,PF000062
C0000062,28,normal,,,D000063,A000063,PF000063
C0000063,15,normal,,,D000064,A000064,PF000064
C0000064,87,normal,,,D000065,A000065,PF000065
