merchant_id,category,history_depth_days,size_tier
M0000,fashion,310,small
M0001,beauty,344,medium
M0002,electronics,42,large
M0003,grocery,305,medium
M0004,sports,55,small
M0005,sports,151,large
M0006,books,259,medium
M0007,sports,180,small
M0008,fashion,224,small
M0009,books,331,medium
M0010,electronics,304,small
M0011,fashion,388,large
M0012,grocery,312,small
M0013,home,189,small
M0014,sports,65,medium
M0015,toys,299,large
M0016,beauty,133,small
M0017,fashion,190,small
M0018,beauty,56,small
M0019,home,94,medium
M0020,toys,177,medium
M0021,grocery,281,small
M0022,books,333,medium
M0023,books,158,small
M0024,electronics,274,small
M0025,books,83,small
M0026,books,315,medium
M0027,beauty,283,medium
M0028,sports,186,medium
M0029,fashion,60,small
