order_id,customer_id,merchant_id,product_id,order_day,order_value,device_id,address_id,payment_fp_id,round
O000001,C0000000,M0021,P000278,59,29.18,D000001,A000001,PF000001,0
O000002,C0000000,M0013,P000168,84,15.61,D000001,A000001,PF000001,0
O000003,C0000000,M0004,P000063,106,88.02,D000001,A000001,PF000001,1
O000004,C0000000,M0006,P000086,150,31.93,D000001,A000001,PF000001,3
O000005,C0000000,M0015,P000194,155,20.66,D000001,A000001,PF000001,3
O000006,C0000000,M0024,P000319,203,38.62,D000001,A000001,PF000001,4
O000007,C0000001,M0009,P000131,11,54.18,D000002,A000002,PF000002,0
O000008,C0000001,M0005,P000073,20,86.13,D000002,A000002,PF000002,0
O000009,C0000001,M0010,P000137,26,9.45,D000002,A000002,PF000002,0
O000010,C0000001,M0012,P000163,62,14.94,D000002,A000002,PF000002,0
O000011,C0000001,M0022,P000290,75,26.35,D000002,A000002,PF000002,0
O000012,C0000001,M0029,P000382,95,59.8,D000002,A000002,PF000002,1
O000013,C0000001,M0012,P000161,129,35.96,D000002,A000002,PF000002,2
O000014,C0000001,M0011,P000152,143,31.85,D000002,A000002,PF000002,2
O000015,C0000001,M0027,P000356,195,13.56,D000002,A000002,PF000002,4
O000016,C0000002,M0020,P000261,74,15.62,D000003,A000003,PF000003,0
O000017,C0000002,M0023,P000307,75,35.52,D000003,A000003,PF000003,0
O000018,C0000002,M0005,P000080,111,59.32,D000003,A000003,PF000003,1
O000019,C0000002,M0004,P000059,112,16.57,D000003,A000003,PF000003,1
O000020,C0000002,M0017,P000219,151,21.48,D000003,A000003,PF000003,3
O000021,C0000002,M0004,P000067,154,31.84,D000003,A000003,PF000003,3
O000022,C0000002,M0028,P000368,170,24.55,D000003,A000003,PF000003,3
O000023,C0000002,M0024,P000313,185,41.36,D000003,A000003,PF000003,4
O000024,C0000002,M0006,P000099,192,59.48,D000003,A000003,PF000003,4
O000025,C0000002,M0018,P000240,203,28.59,D000003,A000003,PF000003,4
O000026,C0000002,M0018,P000234,205,71.6,D000003,A000003,PF000003,4
O000027,C0000002,M0020,P000253,209,28.55,D000003,A000003,PF000003,4
O000028,C0000003,M0022,P000285,14,11.4,D006039,A000004,PF006039,0
O000029,C0000003,M0000,P000003,16,41.05,D006039,A000004,PF006039,0
O000030,C0000003,M0020,P000263,34,76.94,D006039,A000004,PF006039,0
O000031,C0000003,M0004,P000059,43,16.57,D006039,A000004,PF006039,0
O000032,C0000003,M0022,P000288,47,58.08,D006039,A000004,PF006039,0
O000033,C0000003,M0016,P000210,63,17.94,D006039,A000004,PF006039,0
O000034,C0000003,M0007,P000108,67,21.69,D006039,A000004,PF006039,0
O000035,C0000003,M0008,P000116,93,27.61,D006039,A000004,PF006039,1
O000036,C0000003,M0013,P000171,127,38.23,D006039,A000004,PF006039,2
O000037,C0000003,M0001,P000016,137,20.02,D006039,A000004,PF006039,2
O000038,C0000003,M0025,P000328,138,24.51,D006039,A000004,PF006039,2
O000039,C0000003,M0001,P000017,140,31.84,D006039,A000004,PF006039,2
O000040,C0000003,M0018,P000238,154,25.79,D006039,A000004,PF006039,3
O000041,C0000003,M0028,P000368,157,24.55,D006039,A000004,PF006039,3
O000042,C0000003,M0019,P000242,186,25.44,D_FRESH_C0000003,A_FRESH_C0000003,PF_FRESH_C0000003,4
O000043,C0000003,M0006,P000089,190,39.23,D_FRESH_C0000003,A_FRESH_C0000003,PF_FRESH_C0000003,4
O000044,C0000003,M0023,P000302,203,24.5,D006039,A000004,PF006039,4
O000045,C0000004,M0005,P000071,109,25.33,D000005,A000005,PF000005,1
O000046,C0000004,M0022,P000292,170,21.34,D000005,A000005,PF000005,3
O000047,C0000004,M0028,P000368,209,24.55,D000005,A000005,PF000005,4
O000048,C0000005,M0005,P000077,66,32.22,D000006,A000006,PF000006,0
O000049,C0000005,M0008,P000113,74,18.48,D000006,A000006,PF000006,0
O000050,C0000005,M0013,P000169,74,14.39,D000006,A000006,PF000006,0
O000051,C0000005,M0023,P000299,135,2.75,D000006,A000006,PF000006,2
O000052,C0000005,M0029,P000376,137,11.11,D000006,A000006,PF000006,2
O000053,C0000005,M0028,P000370,174,21.06,D000006,A000006,PF000006,3
O000054,C0000005,M0023,P000304,204,24.01,D000006,A000006,PF000006,4
O000055,C0000005,M0005,P000074,209,15.52,D000006,A000006,PF000006,4
O000056,C0000006,M0006,P000096,77,6.2,D000007,A000007,PF000007,0
O000057,C0000006,M0029,P000374,94,23.31,D000007,A000007,PF000007,1
O000058,C0000006,M0008,P000115,176,33.72,D000007,A000007,PF000007,3
O000059,C0000007,M0027,P000357,25,15.64,D000008,A000008,PF000008,0
O000060,C0000007,M0017,P000224,48,9.99,D000008,A000008,PF000008,0
O000061,C0000007,M0015,P000201,68,14.56,D000008,A000008,PF000008,0
O000062,C0000007,M0017,P000219,75,21.48,D000008,A000008,PF000008,0
O000063,C0000007,M0014,P000174,143,10.25,D000008,A000008,PF000008,2
O000064,C0000007,M0003,P000056,143,28.13,D000008,A000008,PF000008,2
O000065,C0000008,M0026,P000332,34,13.83,D000009,A000009,PF000009,0
O000066,C0000008,M0021,P000272,62,19.22,D000009,A000009,PF000009,0
O000067,C0000008,M0024,P000313,63,41.36,D000009,A000009,PF000009,0
O000068,C0000008,M0027,P000352,112,15.23,D000009,A000009,PF000009,1
O000069,C0000008,M0008,P000116,140,27.61,D000009,A000009,PF000009,2
O000070,C0000008,M0010,P000141,150,35.57,D000009,A000009,PF000009,3
O000071,C0000008,M0025,P000329,172,39.78,D000009,A000009,PF000009,3
O000072,C0000008,M0000,P000010,173,32.07,D000009,A000009,PF000009,3
O000073,C0000008,M0020,P000251,181,22.66,D000009,A000009,PF000009,4
O000074,C0000008,M0018,P000238,201,25.79,D000009,A000009,PF000009,4
O000075,C0000009,M0027,P000349,100,44.0,D000010,A000010,PF000010,1
O000076,C0000009,M0007,P000110,122,9.38,D000010,A000010,PF000010,2
O000077,C0000009,M0003,P000042,136,61.65,D000010,A000010,PF000010,2
O000078,C0000009,M0003,P000048,148,36.1,D000010,A000010,PF000010,2
O000079,C0000009,M0014,P000185,153,8.92,D000010,A000010,PF000010,3
O000080,C0000009,M0015,P000191,163,19.16,D000010,A000010,PF000010,3
O000081,C0000009,M0013,P000171,179,38.23,D000010,A000010,PF000010,3
O000082,C0000009,M0004,P000061,186,17.86,D000010,A000010,PF000010,4
O000083,C0000010,M0016,P000204,78,9.31,D000011,A000011,PF000011,0
O000084,C0000010,M0012,P000165,122,13.39,D000011,A000011,PF000011,2
O000085,C0000010,M0015,P000196,128,37.32,D000011,A000011,PF000011,2
O000086,C0000010,M0023,P000309,130,32.02,D000011,A000011,PF000011,2
O000087,C0000010,M0018,P000225,157,38.88,D000011,A000011,PF000011,3
O000088,C0000010,M0009,P000131,159,54.18,D000011,A000011,PF000011,3
O000089,C0000011,M0004,P000067,111,31.84,D006055,A000012,PF000012,1
O000090,C0000011,M0002,P000027,120,13.55,D006055,A000012,PF000012,2
O000091,C0000011,M0016,P000204,136,9.31,D006055,A000012,PF000012,2
O000092,C0000011,M0022,P000284,137,16.89,D006055,A000012,PF000012,2
O000093,C0000011,M0027,P000358,152,20.86,D006055,A000012,PF000012,3
O000094,C0000011,M0002,P000028,197,15.06,D006055,A000012,PF000012,4
O000095,C0000011,M0004,P000067,199,31.84,D_FRESH_C0000011,A_FRESH_C0000011,PF_FRESH_C0000011,4
O000096,C0000011,M0024,P000313,203,41.36,D006055,A000012,PF000012,4
O000097,C0000011,M0001,P000026,208,40.56,D006055,A000012,PF000012,4
O000098,C0000012,M0011,P000146,60,36.57,D006187,A006187,PF006187,0
O000099,C0000012,M0021,P000274,72,25.48,D006187,A006187,PF006187,0
O000100,C0000012,M0001,P000012,74,10.3,D006187,A006187,PF006187,0
O000101,C0000012,M0012,P000157,76,21.87,D006187,A006187,PF006187,0
O000102,C0000012,M0012,P000160,80,18.74,D006187,A006187,PF006187,0
O000103,C0000012,M0013,P000168,80,15.61,D006187,A006187,PF006187,0
O000104,C0000012,M0012,P000166,114,30.91,D006187,A006187,PF006187,1
O000105,C0000012,M0015,P000190,151,16.91,D006187,A006187,PF006187,3
O000106,C0000012,M0028,P000365,160,19.48,D006187,A006187,PF006187,3
O000107,C0000012,M0029,P000376,200,11.11,D006187,A006187,PF006187,4
O000108,C0000012,M0021,P000280,202,17.56,D006187,A006187,PF006187,4
O000109,C0000013,M0023,P000309,123,32.02,D000014,A000014,PF000014,2
O000110,C0000013,M0022,P000288,164,58.08,D000014,A000014,PF000014,3
O000111,C0000013,M0026,P000345,182,9.72,D000014,A000014,PF000014,4
O000112,C0000013,M0016,P000202,186,8.89,D000014,A000014,PF000014,4
O000113,C0000013,M0012,P000156,187,13.71,D000014,A000014,PF000014,4
O000114,C0000013,M0024,P000318,202,30.09,D000014,A000014,PF000014,4
O000115,C0000014,M0011,P000145,85,15.37,D000015,A000015,PF000015,0
O000116,C0000014,M0029,P000378,85,20.29,D000015,A000015,PF000015,0
O000117,C0000014,M0016,P000207,87,30.25,D000015,A000015,PF000015,0
O000118,C0000014,M0009,P000124,118,17.17,D000015,A000015,PF000015,1
O000119,C0000014,M0001,P000023,134,16.71,D000015,A000015,PF000015,2
O000120,C0000014,M0000,P000008,136,19.51,D000015,A000015,PF000015,2
O000121,C0000014,M0018,P000225,138,38.88,D000015,A000015,PF000015,2
O000122,C0000014,M0001,P000021,146,27.99,D000015,A000015,PF000015,2
O000123,C0000014,M0008,P000116,162,27.61,D000015,A000015,PF000015,3
O000124,C0000014,M0009,P000122,168,15.46,D000015,A000015,PF000015,3
O000125,C0000014,M0027,P000360,209,20.95,D000015,A000015,PF000015,4
O000126,C0000015,M0022,P000286,53,15.63,D000016,A000016,PF000016,0
O000127,C0000015,M0024,P000324,86,35.51,D000016,A000016,PF000016,0
O000128,C0000015,M0010,P000139,104,47.64,D000016,A000016,PF000016,1
O000129,C0000015,M0025,P000327,107,18.17,D000016,A000016,PF000016,1
O000130,C0000015,M0012,P000161,115,35.96,D000016,A000016,PF000016,1
O000131,C0000015,M0010,P000139,118,47.64,D000016,A000016,PF000016,1
O000132,C0000015,M0023,P000306,150,20.7,D000016,A000016,PF000016,3
O000133,C0000015,M0011,P000151,152,4.14,D000016,A000016,PF000016,3
O000134,C0000015,M0028,P000362,157,23.26,D000016,A000016,PF000016,3
O000135,C0000015,M0012,P000159,207,62.73,D000016,A000016,PF000016,4
O000136,C0000016,M0020,P000251,64,22.66,D000017,A000017,PF000017,0
O000137,C0000016,M0029,P000375,75,26.82,D000017,A000017,PF000017,0
O000138,C0000016,M0011,P000147,77,20.66,D000017,A000017,PF000017,0
O000139,C0000016,M0028,P000365,85,19.48,D000017,A000017,PF000017,0
O000140,C0000016,M0024,P000313,103,41.36,D000017,A000017,PF000017,1
O000141,C0000016,M0010,P000137,150,9.45,D000017,A000017,PF000017,3
O000142,C0000016,M0016,P000213,172,29.62,D000017,A000017,PF000017,3
O000143,C0000016,M0028,P000367,172,17.52,D000017,A000017,PF000017,3
O000144,C0000016,M0015,P000192,184,5.77,D000017,A000017,PF000017,4
O000145,C0000017,M0008,P000113,77,18.48,D000018,A000018,PF000018,0
O000146,C0000017,M0006,P000093,109,35.96,D000018,A000018,PF000018,1
O000147,C0000017,M0008,P000117,132,33.54,D000018,A000018,PF000018,2
O000148,C0000017,M0022,P000283,144,26.09,D000018,A000018,PF000018,2
O000149,C0000017,M0017,P000221,172,21.62,D000018,A000018,PF000018,3
O000150,C0000017,M0019,P000247,181,31.02,D000018,A000018,PF000018,4
O000151,C0000017,M0024,P000311,199,10.56,D000018,A000018,PF000018,4
O000152,C0000017,M0015,P000189,204,18.83,D000018,A000018,PF000018,4
O000153,C0000018,M0025,P000327,16,18.17,D000019,A000019,PF006045,0
O000154,C0000018,M0004,P000067,22,31.84,D000019,A000019,PF006045,0
O000155,C0000018,M0006,P000096,28,6.2,D000019,A000019,PF006045,0
O000156,C0000018,M0006,P000089,40,39.23,D000019,A000019,PF006045,0
O000157,C0000018,M0004,P000059,77,16.57,D000019,A000019,PF006045,0
O000158,C0000018,M0022,P000291,88,75.89,D000019,A000019,PF006045,0
O000159,C0000018,M0001,P000013,90,31.18,D000019,A000019,PF006045,1
O000160,C0000018,M0020,P000266,108,43.88,D000019,A000019,PF006045,1
O000161,C0000018,M0027,P000359,108,21.19,D000019,A000019,PF006045,1
O000162,C0000018,M0009,P000122,137,15.46,D000019,A000019,PF006045,2
O000163,C0000018,M0009,P000128,162,42.82,D000019,A000019,PF006045,3
O000164,C0000018,M0023,P000305,175,15.72,D000019,A000019,PF006045,3
O000165,C0000018,M0004,P000062,177,23.18,D000019,A000019,PF006045,3
O000166,C0000018,M0022,P000287,185,16.89,D_FRESH_C0000018,A_FRESH_C0000018,PF_FRESH_C0000018,4
O000167,C0000018,M0011,P000148,206,43.01,D_FRESH_C0000018,A_FRESH_C0000018,PF_FRESH_C0000018,4
O000168,C0000019,M0008,P000114,71,26.65,D000020,A000020,PF000020,0
O000169,C0000019,M0000,P000011,81,19.03,D000020,A000020,PF000020,0
O000170,C0000019,M0029,P000380,82,21.03,D000020,A000020,PF000020,0
O000171,C0000019,M0022,P000285,84,11.4,D000020,A000020,PF000020,0
O000172,C0000019,M0001,P000023,92,16.71,D000020,A000020,PF000020,1
O000173,C0000019,M0014,P000182,100,8.46,D000020,A000020,PF000020,1
O000174,C0000019,M0019,P000246,106,15.68,D000020,A000020,PF000020,1
O000175,C0000019,M0009,P000134,150,79.09,D000020,A000020,PF000020,3
O000176,C0000019,M0009,P000125,156,19.79,D000020,A000020,PF000020,3
O000177,C0000019,M0002,P000030,165,22.31,D000020,A000020,PF000020,3
O000178,C0000019,M0011,P000144,173,34.76,D000020,A000020,PF000020,3
O000179,C0000019,M0027,P000349,173,44.0,D000020,A000020,PF000020,3
O000180,C0000019,M0003,P000045,191,12.63,D000020,A000020,PF000020,4
O000181,C0000019,M0027,P000359,204,21.19,D000020,A000020,PF000020,4
O000182,C0000020,M0001,P000024,59,10.74,D006039,A006039,PF000021,0
O000183,C0000020,M0008,P000116,93,27.61,D006039,A006039,PF000021,1
O000184,C0000020,M0008,P000117,125,33.54,D006039,A006039,PF000021,2
O000185,C0000020,M0006,P000089,157,39.23,D006039,A006039,PF000021,3
O000186,C0000020,M0007,P000103,160,30.88,D006039,A006039,PF000021,3
O000187,C0000020,M0002,P000033,174,18.18,D006039,A006039,PF000021,3
O000188,C0000020,M0003,P000049,179,14.79,D006039,A006039,PF000021,3
O000189,C0000020,M0029,P000382,187,59.8,D_FRESH_C0000020,A_FRESH_C0000020,PF_FRESH_C0000020,4
O000190,C0000021,M0011,P000154,13,23.3,D000022,A000022,PF000022,0
O000191,C0000021,M0002,P000037,39,16.56,D000022,A000022,PF000022,0
O000192,C0000021,M0011,P000151,43,4.14,D000022,A000022,PF000022,0
O000193,C0000021,M0013,P000172,124,34.09,D000022,A000022,PF000022,2
O000194,C0000021,M0004,P000065,125,19.67,D000022,A000022,PF000022,2
O000195,C0000021,M0016,P000202,131,8.89,D000022,A000022,PF000022,2
O000196,C0000021,M0015,P000188,165,28.36,D000022,A000022,PF000022,3
O000197,C0000021,M0011,P000151,167,4.14,D000022,A000022,PF000022,3
O000198,C0000021,M0011,P000147,167,20.66,D000022,A000022,PF000022,3
O000199,C0000021,M0012,P000158,196,58.73,D000022,A000022,PF000022,4
O000200,C0000022,M0028,P000365,98,19.48,D000023,A006204,PF006204,1
O000201,C0000022,M0025,P000326,127,45.94,D000023,A006204,PF006204,2
O000202,C0000022,M0019,P000247,134,31.02,D000023,A006204,PF006204,2
O000203,C0000022,M0028,P000366,137,27.4,D000023,A006204,PF006204,2
O000204,C0000022,M0019,P000241,147,27.71,D000023,A006204,PF006204,2
O000205,C0000022,M0015,P000190,162,16.91,D000023,A006204,PF006204,3
O000206,C0000022,M0018,P000234,172,71.6,D000023,A006204,PF006204,3
O000207,C0000022,M0015,P000193,194,19.24,D000023,A006204,PF006204,4
O000208,C0000022,M0027,P000350,203,35.46,D_FRESH_C0000022,A_FRESH_C0000022,PF_FRESH_C0000022,4
O000209,C0000022,M0029,P000382,203,59.8,D000023,A006204,PF006204,4
O000210,C0000023,M0019,P000241,26,27.71,D000024,A000024,PF000024,0
O000211,C0000023,M0000,P000001,28,27.05,D000024,A000024,PF000024,0
O000212,C0000023,M0012,P000166,42,30.91,D000024,A000024,PF000024,0
O000213,C0000023,M0022,P000294,53,29.54,D000024,A000024,PF000024,0
O000214,C0000023,M0017,P000220,55,37.37,D000024,A000024,PF000024,0
O000215,C0000023,M0004,P000065,142,19.67,D000024,A000024,PF000024,2
O000216,C0000023,M0027,P000349,184,44.0,D000024,A000024,PF000024,4
O000217,C0000024,M0027,P000355,124,48.43,D000025,A000025,PF000025,2
O000218,C0000024,M0015,P000194,131,20.66,D000025,A000025,PF000025,2
O000219,C0000024,M0013,P000172,148,34.09,D000025,A000025,PF000025,2
O000220,C0000024,M0011,P000145,162,15.37,D000025,A000025,PF000025,3
O000221,C0000024,M0028,P000365,168,19.48,D000025,A000025,PF000025,3
O000222,C0000024,M0012,P000156,171,13.71,D000025,A000025,PF000025,3
O000223,C0000024,M0022,P000287,179,16.89,D000025,A000025,PF000025,3
O000224,C0000024,M0008,P000117,194,33.54,D000025,A000025,PF000025,4
O000225,C0000024,M0023,P000310,198,28.15,D000025,A000025,PF000025,4
O000226,C0000024,M0018,P000233,198,20.5,D000025,A000025,PF000025,4
O000227,C0000024,M0022,P000285,201,11.4,D000025,A000025,PF000025,4
O000228,C0000024,M0023,P000306,209,20.7,D000025,A000025,PF000025,4
O000229,C0000025,M0013,P000169,60,14.39,D000026,A000026,PF000026,0
O000230,C0000025,M0006,P000087,108,40.32,D000026,A000026,PF000026,1
O000231,C0000025,M0000,P000009,135,18.51,D000026,A000026,PF000026,2
O000232,C0000025,M0009,P000136,142,29.96,D000026,A000026,PF000026,2
O000233,C0000025,M0017,P000217,146,13.22,D000026,A000026,PF000026,2
O000234,C0000025,M0024,P000317,148,19.13,D000026,A000026,PF000026,2
O000235,C0000025,M0020,P000259,153,50.83,D000026,A000026,PF000026,3
O000236,C0000025,M0011,P000151,199,4.14,D000026,A000026,PF000026,4
O000237,C0000026,M0005,P000073,55,86.13,D006178,A006178,PF006178,0
O000238,C0000026,M0013,P000170,68,25.3,D006178,A006178,PF006178,0
O000239,C0000026,M0011,P000150,95,41.98,D006178,A006178,PF006178,1
O000240,C0000026,M0016,P000210,105,17.94,D006178,A006178,PF006178,1
O000241,C0000026,M0011,P000146,133,36.57,D006178,A006178,PF006178,2
O000242,C0000026,M0017,P000220,136,37.37,D006178,A006178,PF006178,2
O000243,C0000026,M0023,P000307,141,35.52,D006178,A006178,PF006178,2
O000244,C0000026,M0003,P000045,188,12.63,D006178,A006178,PF006178,4
O000245,C0000026,M0007,P000106,206,24.7,D006178,A006178,PF006178,4
O000246,C0000027,M0013,P000171,39,38.23,D000028,A000028,PF000028,0
O000247,C0000027,M0010,P000142,46,12.36,D000028,A000028,PF000028,0
O000248,C0000027,M0028,P000369,65,10.48,D000028,A000028,PF000028,0
O000249,C0000027,M0012,P000159,66,62.73,D000028,A000028,PF000028,0
O000250,C0000027,M0029,P000372,85,19.16,D000028,A000028,PF000028,0
O000251,C0000027,M0020,P000251,91,22.66,D000028,A000028,PF000028,1
O000252,C0000027,M0007,P000103,118,30.88,D000028,A000028,PF000028,1
O000253,C0000027,M0016,P000210,118,17.94,D000028,A000028,PF000028,1
O000254,C0000027,M0017,P000220,155,37.37,D000028,A000028,PF000028,3
O000255,C0000027,M0024,P000319,159,38.62,D000028,A000028,PF000028,3
O000256,C0000027,M0024,P000318,161,30.09,D000028,A000028,PF000028,3
O000257,C0000027,M0025,P000328,166,24.51,D000028,A000028,PF000028,3
O000258,C0000027,M0002,P000027,169,13.55,D000028,A000028,PF000028,3
O000259,C0000027,M0002,P000038,195,11.76,D000028,A000028,PF000028,4
O000260,C0000028,M0024,P000318,92,30.09,D006096,A006096,PF006096,1
O000261,C0000028,M0010,P000139,94,47.64,D006096,A006096,PF006096,1
O000262,C0000028,M0003,P000043,96,10.8,D006096,A006096,PF006096,1
O000263,C0000028,M0015,P000201,97,14.56,D006096,A006096,PF006096,1
O000264,C0000028,M0016,P000206,108,15.99,D006096,A006096,PF006096,1
O000265,C0000028,M0010,P000139,124,47.64,D006096,A006096,PF006096,2
O000266,C0000028,M0004,P000066,127,13.57,D006096,A006096,PF006096,2
O000267,C0000028,M0007,P000109,147,18.64,D006096,A006096,PF006096,2
O000268,C0000028,M0025,P000327,164,18.17,D006096,A006096,PF006096,3
O000269,C0000028,M0008,P000116,166,27.61,D006096,A006096,PF006096,3
O000270,C0000028,M0014,P000180,187,9.11,D006096,A006096,PF006096,4
O000271,C0000028,M0027,P000351,194,12.7,D006096,A006096,PF006096,4
O000272,C0000028,M0004,P000059,206,16.57,D_FRESH_C0000028,A_FRESH_C0000028,PF_FRESH_C0000028,4
O000273,C0000029,M0024,P000324,102,35.51,D000030,A000030,PF000030,1
O000274,C0000029,M0006,P000096,176,6.2,D000030,A000030,PF000030,3
O000275,C0000029,M0012,P000164,185,21.07,D000030,A000030,PF000030,4
O000276,C0000029,M0011,P000150,202,41.98,D000030,A000030,PF000030,4
O000277,C0000029,M0015,P000193,203,19.24,D000030,A000030,PF000030,4
O000278,C0000030,M0019,P000249,108,25.11,D006119,A000031,PF000031,1
O000279,C0000030,M0022,P000285,109,11.4,D006119,A000031,PF000031,1
O000280,C0000030,M0017,P000215,114,6.1,D006119,A000031,PF000031,1
O000281,C0000030,M0021,P000272,144,19.22,D006119,A000031,PF000031,2
O000282,C0000030,M0008,P000117,155,33.54,D006119,A000031,PF000031,3
O000283,C0000030,M0001,P000021,191,27.99,D_FRESH_C0000030,A_FRESH_C0000030,PF_FRESH_C0000030,4
O000284,C0000030,M0010,P000139,199,47.64,D006119,A000031,PF000031,4
O000285,C0000030,M0008,P000113,205,18.48,D_FRESH_C0000030,A_FRESH_C0000030,PF_FRESH_C0000030,4
O000286,C0000031,M0024,P000321,90,13.1,D000032,A000032,PF000032,1
O000287,C0000031,M0001,P000016,91,20.02,D000032,A000032,PF000032,1
O000288,C0000031,M0024,P000317,97,19.13,D000032,A000032,PF000032,1
O000289,C0000031,M0011,P000147,98,20.66,D000032,A000032,PF000032,1
O000290,C0000031,M0009,P000125,150,19.79,D000032,A000032,PF000032,3
O000291,C0000031,M0004,P000059,200,16.57,D000032,A000032,PF000032,4
O000292,C0000031,M0004,P000066,203,13.57,D000032,A000032,PF000032,4
O000293,C0000032,M0027,P000355,124,48.43,D000033,A000033,PF000033,2
O000294,C0000032,M0012,P000158,125,58.73,D000033,A000033,PF000033,2
O000295,C0000032,M0005,P000074,140,15.52,D000033,A000033,PF000033,2
O000296,C0000032,M0013,P000171,146,38.23,D000033,A000033,PF000033,2
O000297,C0000032,M0006,P000100,157,17.42,D000033,A000033,PF000033,3
O000298,C0000032,M0018,P000233,171,20.5,D000033,A000033,PF000033,3
O000299,C0000032,M0015,P000191,175,19.16,D000033,A000033,PF000033,3
O000300,C0000032,M0001,P000020,184,21.25,D000033,A000033,PF000033,4
O000301,C0000033,M0009,P000122,43,15.46,D006173,A000034,PF000034,0
O000302,C0000033,M0021,P000270,75,10.33,D006173,A000034,PF000034,0
O000303,C0000033,M0016,P000208,102,31.57,D006173,A000034,PF000034,1
O000304,C0000033,M0024,P000319,147,38.62,D006173,A000034,PF000034,2
O000305,C0000033,M0013,P000171,185,38.23,D_FRESH_C0000033,A_FRESH_C0000033,PF_FRESH_C0000033,4
O000306,C0000033,M0007,P000104,191,22.76,D006173,A000034,PF000034,4
O000307,C0000034,M0028,P000366,101,27.4,D000035,A000035,PF000035,1
O000308,C0000034,M0005,P000075,105,12.59,D000035,A000035,PF000035,1
O000309,C0000034,M0021,P000279,116,5.47,D000035,A000035,PF000035,1
O000310,C0000034,M0021,P000278,117,29.18,D000035,A000035,PF000035,1
O000311,C0000034,M0001,P000017,119,31.84,D000035,A000035,PF000035,1
O000312,C0000034,M0007,P000104,139,22.76,D000035,A000035,PF000035,2
O000313,C0000034,M0007,P000107,141,40.65,D000035,A000035,PF000035,2
O000314,C0000034,M0024,P000323,163,30.08,D000035,A000035,PF000035,3
O000315,C0000034,M0002,P000028,169,15.06,D000035,A000035,PF000035,3
O000316,C0000035,M0000,P000000,62,43.86,D000036,A000036,PF000036,0
