product_id,merchant_id,category,price,popularity_tier,defect_prone
P000000,M0000,fashion,43.86,low,False
P000001,M0000,fashion,27.05,low,False
P000002,M0000,fashion,39.49,low,False
P000003,M0000,fashion,41.05,low,False
P000004,M0000,fashion,12.43,low,False
P000005,M0000,fashion,26.72,medium,False
P000006,M0000,fashion,26.98,medium,False
P000007,M0000,fashion,32.27,low,True
P000008,M0000,fashion,19.51,medium,False
P000009,M0000,fashion,18.51,low,False
P000010,M0000,fashion,32.07,low,False
P000011,M0000,fashion,19.03,medium,False
P000012,M0001,beauty,10.3,low,False
P000013,M0001,beauty,31.18,medium,False
P000014,M0001,beauty,53.49,medium,False
P000015,M0001,beauty,14.01,low,False
P000016,M0001,beauty,20.02,low,False
P000017,M0001,beauty,31.84,low,False
P000018,M0001,beauty,10.3,medium,False
P000019,M0001,beauty,28.21,medium,False
P000020,M0001,beauty,21.25,low,False
P000021,M0001,beauty,27.99,low,False
P000022,M0001,beauty,30.39,low,False
P000023,M0001,beauty,16.71,high,False
P000024,M0001,beauty,10.74,low,True
P000025,M0001,beauty,10.15,low,False
P000026,M0001,beauty,40.56,low,False
P000027,M0002,electronics,13.55,low,False
P000028,M0002,electronics,15.06,low,False
P000029,M0002,electronics,22.55,medium,False
P000030,M0002,electronics,22.31,low,False
P000031,M0002,electronics,18.32,low,False
P000032,M0002,electronics,70.86,medium,False
P000033,M0002,electronics,18.18,low,True
P000034,M0002,electronics,15.88,low,False
P000035,M0002,electronics,40.57,low,False
P000036,M0002,electronics,30.91,low,False
P000037,M0002,electronics,16.56,low,True
P000038,M0002,electronics,11.76,high,False
P000039,M0003,grocery,63.27,medium,False
P000040,M0003,grocery,29.12,low,False
P000041,M0003,grocery,19.17,low,False
P000042,M0003,grocery,61.65,low,False
P000043,M0003,grocery,10.8,low,False
P000044,M0003,grocery,22.03,low,False
P000045,M0003,grocery,12.63,low,False
P000046,M0003,grocery,19.36,low,False
P000047,M0003,grocery,30.04,low,False
P000048,M0003,grocery,36.1,low,False
P000049,M0003,grocery,14.79,low,False
P000050,M0003,grocery,20.08,medium,False
P000051,M0003,grocery,24.99,low,False
P000052,M0003,grocery,18.35,low,False
P000053,M0003,grocery,33.88,high,False
P000054,M0003,grocery,16.16,low,False
P000055,M0003,grocery,27.27,low,False
P000056,M0003,grocery,28.13,high,False
P000057,M0003,grocery,14.7,medium,False
P000058,M0003,grocery,17.21,low,False
P000059,M0004,sports,16.57,low,False
P000060,M0004,sports,12.97,medium,False
P000061,M0004,sports,17.86,low,False
P000062,M0004,sports,23.18,medium,False
P000063,M0004,sports,88.02,low,False
P000064,M0004,sports,73.86,low,False
P000065,M0004,sports,19.67,low,False
P000066,M0004,sports,13.57,low,False
P000067,M0004,sports,31.84,low,False
P000068,M0005,sports,10.75,low,False
P000069,M0005,sports,28.2,low,False
P000070,M0005,sports,45.04,low,False
P000071,M0005,sports,25.33,medium,False
P000072,M0005,sports,29.66,low,False
P000073,M0005,sports,86.13,low,False
P000074,M0005,sports,15.52,low,False
P000075,M0005,sports,12.59,medium,False
P000076,M0005,sports,32.72,low,False
P000077,M0005,sports,32.22,high,False
P000078,M0005,sports,28.74,medium,False
P000079,M0005,sports,23.06,low,False
P000080,M0005,sports,59.32,low,False
P000081,M0005,sports,27.27,low,False
P000082,M0005,sports,8.55,low,False
P000083,M0005,sports,9.77,low,False
P000084,M0005,sports,23.65,medium,False
P000085,M0005,sports,53.52,high,False
P000086,M0006,books,31.93,medium,False
P000087,M0006,books,40.32,low,False
P000088,M0006,books,16.14,medium,False
P000089,M0006,books,39.23,medium,False
P000090,M0006,books,49.54,low,False
P000091,M0006,books,38.03,high,False
P000092,M0006,books,12.14,medium,False
P000093,M0006,books,35.96,medium,False
P000094,M0006,books,25.02,low,False
P000095,M0006,books,29.58,low,False
P000096,M0006,books,6.2,low,False
P000097,M0006,books,31.45,low,False
P000098,M0006,books,17.21,low,False
P000099,M0006,books,59.48,medium,False
P000100,M0006,books,17.42,medium,False
P000101,M0006,books,28.21,medium,False
P000102,M0006,books,14.61,low,False
P000103,M0007,sports,30.88,high,False
P000104,M0007,sports,22.76,medium,False
P000105,M0007,sports,14.98,medium,False
P000106,M0007,sports,24.7,high,False
P000107,M0007,sports,40.65,low,False
P000108,M0007,sports,21.69,low,False
P000109,M0007,sports,18.64,low,False
P000110,M0007,sports,9.38,low,False
P000111,M0007,sports,15.23,low,False
P000112,M0007,sports,28.96,low,False
P000113,M0008,fashion,18.48,medium,False
P000114,M0008,fashion,26.65,low,False
P000115,M0008,fashion,33.72,low,False
P000116,M0008,fashion,27.61,low,False
P000117,M0008,fashion,33.54,low,True
P000118,M0009,books,40.35,medium,False
P000119,M0009,books,10.08,medium,False
P000120,M0009,books,38.46,high,False
P000121,M0009,books,47.16,medium,True
P000122,M0009,books,15.46,low,False
P000123,M0009,books,55.27,medium,False
P000124,M0009,books,17.17,medium,False
P000125,M0009,books,19.79,medium,False
P000126,M0009,books,10.7,low,False
P000127,M0009,books,32.62,medium,False
P000128,M0009,books,42.82,low,False
P000129,M0009,books,12.91,low,False
P000130,M0009,books,21.9,low,False
P000131,M0009,books,54.18,low,False
P000132,M0009,books,46.54,medium,False
P000133,M0009,books,30.88,low,False
P000134,M0009,books,79.09,low,False
P000135,M0009,books,27.01,low,False
P000136,M0009,books,29.96,medium,False
P000137,M0010,electronics,9.45,low,False
P000138,M0010,electronics,18.63,low,False
P000139,M0010,electronics,47.64,low,False
P000140,M0010,electronics,19.22,medium,False
P000141,M0010,electronics,35.57,medium,False
P000142,M0010,electronics,12.36,medium,False
P000143,M0010,electronics,28.05,medium,False
P000144,M0011,fashion,34.76,low,False
P000145,M0011,fashion,15.37,low,False
P000146,M0011,fashion,36.57,medium,False
P000147,M0011,fashion,20.66,low,False
P000148,M0011,fashion,43.01,medium,True
P000149,M0011,fashion,7.43,medium,False
P000150,M0011,fashion,41.98,medium,False
P000151,M0011,fashion,4.14,high,False
P000152,M0011,fashion,31.85,low,False
P000153,M0011,fashion,9.62,low,False
P000154,M0011,fashion,23.3,low,False
P000155,M0012,grocery,16.23,medium,False
P000156,M0012,grocery,13.71,medium,False
P000157,M0012,grocery,21.87,low,False
P000158,M0012,grocery,58.73,medium,False
P000159,M0012,grocery,62.73,low,False
P000160,M0012,grocery,18.74,low,False
P000161,M0012,grocery,35.96,low,False
P000162,M0012,grocery,5.83,low,False
P000163,M0012,grocery,14.94,medium,False
P000164,M0012,grocery,21.07,medium,False
