return_id,order_id,customer_id,return_day,reason_code,refund_amount,true_abuse_label
R000001,O000001,C0000000,70,duplicate_order,29.18,0
R000002,O000002,C0000000,102,duplicate_order,15.61,0
R000003,O000013,C0000001,133,duplicate_order,35.96,0
R000004,O000019,C0000002,133,other,16.57,0
R000005,O000022,C0000002,185,changed_mind,24.55,0
R000006,O000024,C0000002,195,changed_mind,59.48,0
R000007,O000028,C0000003,16,changed_mind,11.4,1
R000008,O000029,C0000003,16,changed_mind,41.05,1
R000009,O000030,C0000003,34,other,76.94,1
R000010,O000031,C0000003,43,changed_mind,16.57,1
R000011,O000032,C0000003,49,defective,58.08,1
R000012,O000036,C0000003,128,not_as_described,38.23,1
R000013,O000037,C0000003,137,changed_mind,20.02,1
R000014,O000038,C0000003,141,changed_mind,24.51,1
R000015,O000039,C0000003,140,changed_mind,31.84,1
R000016,O000041,C0000003,159,changed_mind,24.55,1
R000017,O000044,C0000003,204,changed_mind,24.5,1
R000018,O000059,C0000007,37,other,15.64,0
R000019,O000075,C0000009,113,defective,44.0,0
R000020,O000079,C0000009,162,size_fit,8.92,0
R000021,O000081,C0000009,200,other,38.23,0
R000022,O000089,C0000011,114,not_as_described,31.84,1
R000023,O000090,C0000011,123,size_fit,13.55,1
R000024,O000091,C0000011,139,changed_mind,9.31,1
R000025,O000092,C0000011,139,defective,16.89,1
R000026,O000093,C0000011,153,changed_mind,20.86,1
R000027,O000098,C0000012,63,defective,36.57,1
R000028,O000099,C0000012,73,changed_mind,25.48,1
R000029,O000100,C0000012,75,not_as_described,10.3,1
R000030,O000102,C0000012,80,other,18.74,1
R000031,O000106,C0000012,180,defective,19.48,1
R000032,O000112,C0000013,189,changed_mind,8.89,0
R000033,O000117,C0000014,90,defective,30.25,0
R000034,O000122,C0000014,153,changed_mind,27.99,0
R000035,O000128,C0000015,112,duplicate_order,47.64,0
R000036,O000154,C0000018,25,changed_mind,31.84,1
R000037,O000156,C0000018,43,changed_mind,39.23,1
R000038,O000157,C0000018,77,changed_mind,16.57,1
R000039,O000161,C0000018,110,defective,21.19,1
R000040,O000162,C0000018,137,changed_mind,15.46,1
R000041,O000163,C0000018,162,duplicate_order,42.82,1
R000042,O000187,C0000020,177,not_as_described,18.18,1
R000043,O000189,C0000020,189,changed_mind,59.8,1
R000044,O000202,C0000022,138,changed_mind,31.02,1
R000045,O000207,C0000022,209,duplicate_order,19.24,1
R000046,O000229,C0000025,80,duplicate_order,14.39,0
R000047,O000233,C0000025,153,duplicate_order,13.22,0
R000048,O000237,C0000026,56,changed_mind,86.13,1
R000049,O000239,C0000026,98,changed_mind,41.98,1
R000050,O000240,C0000026,107,duplicate_order,17.94,1
R000051,O000242,C0000026,147,size_fit,37.37,1
R000052,O000247,C0000027,52,not_as_described,12.36,0
R000053,O000260,C0000028,92,not_as_described,30.09,1
R000054,O000261,C0000028,96,duplicate_order,47.64,1
R000055,O000262,C0000028,96,changed_mind,10.8,1
R000056,O000263,C0000028,100,changed_mind,14.56,1
R000057,O000266,C0000028,128,changed_mind,13.57,1
R000058,O000267,C0000028,150,changed_mind,18.64,1
R000059,O000268,C0000028,164,size_fit,18.17,1
R000060,O000272,C0000028,207,changed_mind,16.57,1
R000061,O000278,C0000030,111,changed_mind,25.11,1
R000062,O000279,C0000030,110,changed_mind,11.4,1
R000063,O000285,C0000030,209,other,18.48,1
R000064,O000294,C0000032,139,not_as_described,58.73,0
R000065,O000303,C0000033,102,changed_mind,31.57,1
R000066,O000315,C0000034,174,defective,15.06,0
R000067,O000344,C0000038,152,not_as_described,21.9,0
R000068,O000359,C0000041,13,not_as_described,31.57,1
R000069,O000360,C0000041,117,not_as_described,33.54,1
R000070,O000362,C0000041,130,other,28.96,1
R000071,O000363,C0000041,134,changed_mind,28.96,1
R000072,O000366,C0000041,157,changed_mind,44.59,1
R000073,O000367,C0000041,170,changed_mind,32.09,1
R000074,O000368,C0000041,203,not_as_described,23.16,1
R000075,O000375,C0000042,194,changed_mind,16.23,0
R000076,O000380,C0000043,148,not_as_described,5.83,0
R000077,O000408,C0000047,91,changed_mind,19.24,1
R000078,O000412,C0000047,111,changed_mind,26.72,1
R000079,O000413,C0000047,140,not_as_described,26.54,1
R000080,O000425,C0000047,209,defective,14.94,1
R000081,O000426,C0000048,63,not_as_described,22.4,1
R000082,O000427,C0000048,76,defective,74.34,1
R000083,O000429,C0000048,96,size_fit,30.08,1
R000084,O000460,C0000052,124,changed_mind,8.89,0
R000085,O000467,C0000053,151,other,27.01,0
R000086,O000483,C0000054,155,other,22.55,0
R000087,O000502,C0000056,109,duplicate_order,23.56,0
R000088,O000506,C0000057,115,not_as_described,50.41,0
R000089,O000509,C0000057,209,size_fit,26.09,0
R000090,O000513,C0000058,111,other,14.7,0
R000091,O000514,C0000058,160,changed_mind,19.22,0
R000092,O000528,C0000061,66,defective,12.14,0
R000093,O000533,C0000061,132,other,18.74,0
R000094,O000537,C0000061,152,not_as_described,16.56,0
R000095,O000549,C0000063,29,not_as_described,4.14,0
R000096,O000562,C0000064,209,changed_mind,19.63,0
R000097,O000569,C0000065,130,defective,27.05,0
R000098,O000578,C0000066,142,other,19.13,0
R000099,O000579,C0000066,160,not_as_described,23.16,0
R000100,O000585,C0000067,19,duplicate_order,30.17,1
R000101,O000586,C0000067,89,changed_mind,19.36,1
R000102,O000589,C0000067,165,duplicate_order,70.86,1
R000103,O000591,C0000067,206,size_fit,25.48,1
R000104,O000592,C0000068,71,changed_mind,39.49,1
R000105,O000595,C0000068,101,not_as_described,29.96,1
R000106,O000623,C0000072,88,changed_mind,25.48,1
R000107,O000624,C0000072,88,changed_mind,35.96,1
R000108,O000625,C0000072,93,other,12.22,1
R000109,O000626,C0000072,106,changed_mind,34.09,1
R000110,O000627,C0000072,115,changed_mind,9.31,1
R000111,O000629,C0000072,150,duplicate_order,7.43,1
R000112,O000631,C0000072,170,other,73.86,1
R000113,O000632,C0000072,176,changed_mind,45.94,1
R000114,O000633,C0000072,187,duplicate_order,24.7,1
R000115,O000635,C0000072,209,defective,25.3,1
R000116,O000636,C0000072,209,size_fit,24.51,1
R000117,O000644,C0000074,100,changed_mind,19.03,1
R000118,O000660,C0000076,178,duplicate_order,12.97,0
