customer_id,cluster_id,split
C0000000,C0000000,train
C0000001,C0000001,train
C0000002,C0000002,train
C0000003,C0005133,train
C0000004,C0000004,train
C0000005,C0000005,val
C0000006,C0000006,train
C0000007,C0000007,train
C0000008,C0000008,train
C0000009,C0000009,test
C0000010,C0000010,test
C0000011,C0003902,train
C0000012,C0005755,train
C0000013,C0000013,train
C0000014,C0000014,train
C0000015,C0000015,train
C0000016,C0000016,test
C0000017,C0000017,train
C0000018,C0004452,test
C0000019,C0000019,train
C0000020,C0005133,train
C0000021,C0000021,train
C0000022,C0005414,test
C0000023,C0000023,test
C0000024,C0000024,test
C0000025,C0000025,train
C0000026,C0003545,train
C0000027,C0000027,train
C0000028,C0004865,val
C0000029,C0000029,train
C0000030,C0004069,test
C0000031,C0000031,train
C0000032,C0000032,train
C0000033,C0005151,train
C0000034,C0000034,train
C0000035,C0000035,train
C0000036,C0000036,train
C0000037,C0000037,train
C0000038,C0000038,train
C0000039,C0000039,train
C0000040,C0000040,train
C0000041,C0005844,train
C0000042,C0000042,train
C0000043,C0000043,test
C0000044,C0000044,train
C0000045,C0000045,train
C0000046,C0000046,val
C0000047,C0005842,val
C0000048,C0004045,test
C0000049,C0000049,train
C0000050,C0000050,train
C0000051,C0000051,test
C0000052,C0000052,train
C0000053,C0000053,train
C0000054,C0000054,train
C0000055,C0000055,train
C0000056,C0000056,train
C0000057,C0000057,train
C0000058,C0000058,train
C0000059,C0000059,val
C0000060,C0000060,train
C0000061,C0000061,train
C0000062,C0000062,test
C0000063,C0000063,train
C0000064,C0000064,train
C0000065,C0000065,train
C0000066,C0000066,val
C0000067,C0003624,train
C0000068,C0002545,test
C0000069,C0000069,train
C0000070,C0000070,train
C0000071,C0000071,train
C0000072,C0000072,val
C0000073,C0000073,train
C0000074,C0005420,test
C0000075,C0000075,train
C0000076,C0000076,test
C0000077,C0000077,train
C0000078,C0000078,train
C0000079,C0000079,train
C0000080,C0000080,train
C0000081,C0000081,train
C0000082,C0005315,train
C0000083,C0000083,train
C0000084,C0000084,train
C0000085,C0000085,train
C0000086,C0000086,train
